Años;Anual;      Trim.1;Enero;Febrero;Marzo;      Trim.2;Abril;Mayo;Junio;      Trim.3;Julio;Agosto;Septiembre;      Trim.4;Octubre;Noviembre;Diciembre
1990;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1991;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1992;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1993;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1994;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1995;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1996;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1997;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1998;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1999;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2000;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
2001;21093;...;...;...;...;...;...;...;...;...;...;...;...;21093;...;...;21093
2002;22413;20982;20744;20666;20982;20406;20765;20407;20406;20155;20883;20507;20155;22413;20399;20870;22413
2003;26770;22334;22739;22315;22334;23013;22767;22632;23013;23976;23755;23883;23976;26770;24834;24774;26770
2004;28818;25529;26185;25806;25529;25315;25430;25339;25315;26092;25828;25883;26092;28818;26229;26901;28818
2005;33644;29267;28519;28151;29267;29367;29228;29189;29367;30179;30358;29914;30179;33644;30913;31861;33644
2006;40016;34207;33575;33652;34207;35100;33969;34563;35100;35817;35679;35403;35817;40016;35793;37403;40016
2007;44912;41320;40388;40750;41320;41044;40429;41029;41044;42266;41691;41557;42266;44912;41885;42532;44912
2008;47506;43532;44328;43513;43532;41968;42292;41924;41968;41741;42060;41406;41741;47506;42064;44235;47506
2009;50029;45976;47060;46049;45976;46051;45359;45986;46051;45045;46086;45236;45045;50029;45635;47310;50029
2010;54557;49667;50068;48774;49667;48480;48370;48626;48480;48820;48977;48840;48820;54557;49538;50941;54557
2011;58610;53649;53539;53267;53649;54043;54277;53121;54043;52949;54185;53536;52949;58610;53649;54818;58610
2012;62962;57539;57519;57656;57539;56229;56646;55452;56229;56036;55858;56271;56036;62962;56433;58488;62962
2013;65258;62296;60519;60765;62296;60781;60793;60675;60781;60557;60590;61221;60557;65258;60333;61051;65258
2014;69801;63268;63240;62948;63268;64062;63909;63795;64062;63880;64423;64361;63880;69801;63876;65388;69801
2015;76929;71208;69385;69938;71208;72543;71408;73155;72543;71185;73011;72016;71185;76929;71580;72818;76929
2016;81587;76055;75264;75933;76055;76033;76501;75614;76033;75434;76235;75239;75434;81587;76042;77747;81587
2017;89788;80133;80079;79999;80133;82079;82009;81224;82079;82404;82111;81717;82404;89788;82692;84146;89788
2018;97450;88997;87039;87207;88997;87647;88222;87443;87647;88358;88004;88533;88358;97450;88993;90913;97450
2019;110144;96639;94825;95007;96639;98151;98126;97470;98151;100012;98692;99461;100012;110144;100495;103241;110144
2020;137929;110845;107295;108119;110845;118381;110719;114395;118381;126920;120471;124117;126920;137929;128703;130815;137929
2021;...;...;135896;135796;...;...;...;...;...;...;...;...;...;...;...;...;...