Años;Anual;Trimestre 1;            Enero;            Febrero;            Marzo;Trimestre 2;            Abril;            Mayo;            Junio;Trimestre 3;            Julio;            Agosto;            Septiembre;Trimestre 4;            Octubre;            Noviembre;            Diciembre
1990;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1991;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
1992;1577;944;829;889;944;1069;1026;1045;1069;1226;1259;1215;1226;1577;1308;1310;1577
1993;2338;1648;1475;1613;1648;1652;1647;1567;1652;1811;1877;1758;1811;2338;1868;1986;2338
1994;3723;2516;2199;2240;2516;2737;2481;2546;2737;3053;3329;2994;3053;3723;3176;3169;3723
1995;4595;3955;3538;3666;3955;3873;3873;3770;3873;3999;4375;4114;3999;4595;4225;4167;4595
1996;5409;4360;4215;4211;4360;4471;4449;4383;4471;4612;4796;4577;4612;5409;4605;4789;5409
1997;6464;5428;4924;4992;5428;5386;5195;5278;5386;5634;5827;5609;5634;6464;5712;5728;6464
1998;6482;6314;5914;5837;6314;6144;6236;6139;6144;5604;6580;6065;5604;6482;5824;5910;6482
1999;7311;6079;5967;6083;6079;5878;5837;5980;5878;6333;6581;6459;6333;7311;6469;6477;7311
2000;7087;6610;6739;6256;6610;6378;6483;6378;6378;6239;6769;6395;6239;7087;6383;6422;7087
2001;7489;6421;6217;6269;6421;6266;6639;6251;6266;6274;6811;6431;6274;7489;6398;6565;7489
2002;8177;7278;6821;6884;7278;7346;7104;7109;7346;7480;8051;7744;7480;8177;7429;7547;8177
2003;9312;7947;7545;7667;7947;8000;7979;7980;8000;8222;8563;8196;8222;9312;8299;8457;9312
2004;12420;9846;8978;9279;9846;9955;9827;9926;9955;10251;10388;10192;10251;12420;10850;11065;12420
2005;15489;12343;11906;12195;12343;12750;12619;12563;12750;13537;13808;13398;13537;15489;13737;13882;15489
2006;18975;14892;14370;14645;14892;15087;14579;14588;15087;15527;15601;15314;15527;18975;15887;16139;18975
2007;24476;19145;17720;18072;19145;19275;19149;18762;19275;20149;20309;20472;20149;24476;20990;21447;24476
2008;28930;25902;23287;24572;25902;27046;26153;25999;27046;26925;27053;27106;26925;28930;26978;27042;28930
2009;33147;27431;27184;27913;27431;28205;26839;27264;28205;28835;28690;28901;28835;33147;29699;30861;33147
2010;42651;34660;33229;33492;34660;36557;34432;35326;36557;37106;36660;37463;37106;42651;38053;39563;42651
2011;48766;41985;40450;40715;41985;41727;42249;41496;41727;44245;43671;45089;44245;48766;45266;44833;48766
2012;57247;48304;47660;47245;48304;49689;48878;49049;49689;51704;51211;52317;51704;57247;52998;53405;57247
2013;62229;56992;55965;58134;56992;57059;57213;56634;57059;57289;58546;58304;57289;62229;57220;57879;62229
2014;68382;60927;59918;60120;60927;59700;59903;59270;59700;62049;60921;61601;62049;68382;61736;63174;68382
2015;71324;64787;65926;66294;64787;63749;64051;63795;63749;64250;65306;64633;64250;71324;66610;65910;71324
2016;73805;66580;69125;68689;66580;66504;67225;66280;66504;69259;69531;70019;69259;73805;69874;69854;73805
2017;81713;70591;70918;72075;70591;73005;70909;71665;73005;76896;74635;73468;76896;81713;77684;78582;81713
2018;92248;82806;81633;82079;82806;81794;80279;83040;81794;85282;83132;85509;85282;92248;86488;88140;92248
2019;99448;91990;89601;88813;91990;89681;92046;89105;89681;94026;92794;96162;94026;99448;94201;96385;99448
2020;143022;102585;99612;101588;102585;129673;107458;124958;129673;138954;135265;137480;138954;143022;138433;138672;143022
2021;...;...;150216;...;...;...;...;...;...;...;...;...;...;...;...;...;...