Años;Anual;      Trimestre 1;            Enero;            Febrero;            Marzo;      Trimestre 2;            Abril;            Mayo;            Junio;      Trimestre 3;            Julio;            Agosto;            Septiembre;      Trimestre 4;            Octubre;            Noviembre;            Diciembre
1990;690890;573070;523300;526850;573070;537600;585680;540510;537600;571080;508050;532530;571080;690890;511030;532110;690890
1991;1022830;855250;731420;762040;855250;736850;773500;777790;736850;827030;686480;770330;827030;1022830;804920;821600;1022830
1992;1441220;1340790;955480;1014380;1340790;1076750;1165390;1080500;1076750;1020970;1103230;1099960;1020970;1441220;996130;1052780;1441220
1993;1738260;1478390;1513630;1502120;1478390;1479980;1552910;1454720;1479980;1410720;1412590;1431560;1410720;1738260;1404650;1506020;1738260
1994;2096140;1699760;1784740;1723530;1699760;1683130;1755800;1652880;1683130;1756910;1689260;1671400;1756910;2096140;1780080;1889930;2096140
1995;2588660;2075080;2077610;2111190;2075080;2236900;2205610;2144160;2236900;2101270;2087120;2024980;2101270;2588660;2111590;2229490;2588660
1996;2859570;2521890;2472600;2442540;2521890;2492090;2526710;2507610;2492090;2469640;2379080;2376110;2469640;2859570;2482230;2498550;2859570
1997;3333600;2921560;2771780;2797930;2921560;2990850;2941660;2963030;2990850;3000510;2805200;2884620;3000510;3333600;2931490;2991190;3333600
1998;3148970;3127690;3209320;3120440;3127690;3171150;3299083;3202780;3171150;2781240;2890420;2932040;2781240;3148970;2836200;2840440;3148970
1999;3791870;3045220;3080840;3162830;3045220;3343190;3171540;3160990;3343190;3220550;3083710;3118050;3220550;3791870;3240620;3329470;3791870
2000;4145410;3448520;3676920;3533480;3448520;3411970;3548230;3396380;3411970;3396060;3366610;3323340;3396060;4145410;3313160;3442080;4145410
2001;4311700;3977740;3654590;3705860;3977740;4178970;4063110;3881230;4178970;3813270;3850470;3855490;3813270;4311700;3884880;4030610;4311700
2002;5062574;4286580;4231750;4218400;4286580;4455873;4399030;4405150;4455873;4748210;4292117;4485808;4748210;5062574;4532813;4661481;5062574
2003;5792050;5400078;5128864;5029782;5400078;5440623;5464471;5361608;5440623;5222030;5074320;5229590;5222030;5792050;5177870;5372900;5792050
2004;7148610;5970200;5970620;5875143;5970200;6479770;6473580;6360341;6479770;6594510;6496500;6480850;6594510;7148610;6794030;6784211;7148610
2005;7913710;7194160;7337440;7179050;7194160;7413490;7751674;7293810;7413490;7184550;7236420;7056320;7184550;7913710;7272240;7349300;7913710
2006;9220997;7862370;7883170;7713670;7862370;8098320;8377330;8070870;8098320;8223840;8193330;8069650;8223840;9220997;7965450;8425160;9220997
2007;10797160;9359320;9008420;9015330;9359320;9547960;10132226;9539520;9547960;9743750;9485990;9502367;9743750;10797160;9589750;9984676;10797160
2008;11093190;10570600;10613470;10387000;10570600;10818800;10922390;10975430;10818800;10732980;10525000;10459450;10732980;11093190;10668630;10764620;11093190
2009;14204600;11203040;10978900;10939510;11203040;12150240;11917130;12248780;12150240;12739940;11954650;12442320;12739940;14204600;12802221;13023070;14204600
2010;16888290;14743660;14549330;14557100;14743660;15954800;15710880;16219970;15954800;15773930;15583520;15505630;15773930;16888290;15867950;15881750;16888290
2011;18838809;16806060;16969140;16665490;16806060;17425150;17498700;17341220;17425150;17409870;16882180;16960340;17409870;18838809;17277574;17515532;18838809
2012;20560455;18901823;18495977;18314482;18901823;18593427;19522038;19682287;18593427;18606349;18299087;18436463;18606349;20560455;18285029;18823824;20560455
2013;22784371;20124518;19744560;19858759;20124518;21265880;20023043;21102001;21265880;21250272;20679348;20623716;21250272;22784371;20704513;21223526;22784371
2014;25823588;22955031;22293121;22237759;22955031;23163723;22574516;23713045;23163723;23309497;23025026;23394997;23309497;25823588;23063270;24119939;25823588
2015;29419405;25702522;25570151;25484112;25702522;26774220;25505879;26968206;26774220;26983850;26644092;26411302;26983850;29419405;26712655;27421920;29419405
2016;30318551;28258940;28817266;28436815;28258940;28200673;28189435;28274362;28200673;27601658;27812317;27588430;27601658;30318551;27582607;28965238;30318551
2017;33566117;29788558;29536153;29360654;29788558;31099138;30229822;30763928;31099138;30889797;30671356;30864621;30889797;33566117;30753140;32076342;33566117
2018;36855583;33747057;33338736;32864744;33747057;34887263;33831774;35199813;34887263;34553894;33665360;34626232;34553894;36855583;34565355;35214970;36855583
2019;43633380;36803332;36168873;35901911;36803332;38158563;37391931;38075327;38158563;39372446;37901438;38583230;39372446;43633380;41034472;42245268;43633380
2020;68573217;46653000;42621379;43378141;46653000;52956296;48599795;51629777;52956296;63423260;53271625;62299759;63423260;68573217;62477823;62397016;68573217
2021;...;...;68802575;68709148;...;...;...;...;...;...;...;...;...;...;...;...;...