;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Argentina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112,89;151,58;232,75;330,54
Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50,95;53,13;57,75;65,84;68,04;69,75;76,64;80,10;84,70;89,58;93,22;96,60;99,32;101,58;103,45;104,42
Brazil;;;;;;;;;;;;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,03;0,15;1,56;31,59;687,42;1.141,16;1.320,99;1.412,49;1.457,62;1.528,43;1.636,10;1.748,01;1.895,72;2.174,68;2.318,15;2.477,39;2.581,03;2.675,02;2.826,92;2.965,10;3.114,50;3.321,20;3.500,66;3.717,85;3.953,15;4.310,12;4.686,79;4.848,31;5.025,99;5.213,61;5.381,06
Chile;;0,00;0,00;0,00;0,01;0,05;0,24;0,75;1,45;2,03;2,71;3,66;4,38;4,81;6,13;7,34;9,60;11,46;13,74;15,76;18,45;23,25;28,31;32,68;36,84;41,06;44,44;47,71;50,63;53,22;55,00;57,11;59,15;60,62;62,32;62,98;64,90;67,10;70,06;76,17;76,44;77,52;80,11;82,52;83,99;87,96;91,78;95,26;97,34;99,71;102,26;105,37
Colombia;;0,12;0,13;0,15;0,18;0,22;0,28;0,33;0,44;0,52;0,65;0,82;1,04;1,30;1,55;1,81;2,24;2,66;3,28;4,21;5,30;6,84;8,92;11,33;13,87;17,04;20,60;24,88;29,47;34,98;38,78;42,36;45,73;48,64;52,11;55,18;57,97;60,46;63,81;68,28;71,15;72,76;75,25;77,63;79,20;81,49;85,56;91,99;95,96;99,06;102,56;105,15
Ecuador;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68,13;70,38;71,98;78,03;82,06;84,97;88,77;93,30;95,84;99,28;103,22;105,00;105,44;105,21;105,49;105,13
Guatemala;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;73,18;77,98;83,30;92,76;94,49;98,13;104,23;108,17;112,87;116,73;119,52;124,83;130,36;135,25;140,25;144,76
Mexico;0,01;0,01;0,01;0,01;0,02;0,02;0,02;0,03;0,03;0,04;0,05;0,06;0,07;0,12;0,24;0,39;0,61;1,14;2,65;5,68;6,81;8,63;10,58;12,23;13,42;14,35;19,37;26,04;31,41;36,41;42,45;46,48;49,43;51,92;54,28;56,83;59,09;61,24;63,67;66,93;70,48;73,41;75,91;79,03;82,04;85,33;87,65;90,13;95,57;100,26;103,90;107,43
Paraguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,93;56,91;61,54;67,78;69,54;72,78;78,78;81,68;83,87;88,09;90,84;94,56;97,96;101,86;104,67;106,52
Peru;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101,53;104,95;108,79;111,84;115,47;119,57;123,86;127,33;129,01;131,77;134,18
Uruguay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68,65;73,04;78,96;85,18;91,20;97,31;105,18;113,70;123,45;134,41;146,06;160,14;170,10;183,03;197,46;216,73